red,blue,winner,raw_winner,avg_think_time_red,avg_think_time_blue,total_moves,game
agent,agent2,agent,RED,1.2521,,59,1
agent2,agent,agent,BLUE,,1.5865,52,2
agent,agent2,agent,RED,1.1949,,59,3
agent2,agent,agent,BLUE,,1.5444,52,4
agent,agent2,agent,RED,1.6522,,49,5
agent2,agent,agent,BLUE,,1.576,54,6
agent,agent2,agent,RED,1.2665,,59,7
agent2,agent,agent,BLUE,,0.9075,62,8
agent,agent2,agent,RED,1.2584,,59,9
agent2,agent,agent,BLUE,,1.5851,54,10
agent,agent2,agent,RED,1.4564,,55,11
agent2,agent,agent,BLUE,,1.6071,48,12
agent,agent2,agent,RED,1.4132,,55,13
agent2,agent,agent,BLUE,,1.6009,48,14
agent,agent2,agent,RED,1.3225,,57,15
agent2,agent,agent,BLUE,,1.5412,54,16
agent,agent2,agent,RED,1.2585,,59,17
agent2,agent,agent,BLUE,,1.3491,54,18
agent,agent2,agent,RED,1.3031,,55,19
agent2,agent,agent,BLUE,,1.5235,54,20
agent,agent2,agent,RED,1.4373,,51,21
agent2,agent,agent,BLUE,,1.5533,54,22
agent,agent2,agent,RED,1.3127,,59,23
agent2,agent,agent,BLUE,,1.5548,54,24
agent,agent2,agent,RED,1.1326,,59,25
agent2,agent,agent,BLUE,,1.5516,54,26
agent,agent2,agent,RED,1.6075,,51,27
agent2,agent,agent,BLUE,,1.5143,54,28
agent,agent2,agent,RED,1.6687,,51,29
agent2,agent,agent,BLUE,,1.5252,52,30
agent,agent2,agent,RED,1.3237,,51,31
agent2,agent,agent,BLUE,,1.611,54,32
agent,agent2,agent,RED,1.7895,,47,33
agent2,agent,agent,BLUE,,1.4806,52,34
agent,agent2,agent,RED,1.1804,,59,35
agent2,agent,agent,BLUE,,1.5556,48,36
agent,agent2,agent,RED,1.1893,,59,37
agent2,agent,agent,BLUE,,1.5123,52,38
agent,agent2,draw,UNKNOWN,0.5972,,150,39
agent2,agent,agent,BLUE,,1.5834,54,40
agent,agent2,draw,UNKNOWN,0.5566,,150,41
agent2,agent,agent,BLUE,,1.5384,54,42
agent,agent2,agent,RED,1.4498,,51,43
agent2,agent,agent,BLUE,,1.3063,54,44
agent,agent2,agent,RED,1.7431,,47,45
agent2,agent,agent,BLUE,,1.638,54,46
agent,agent2,agent,RED,1.2747,,59,47
agent2,agent,agent,BLUE,,1.4697,52,48
agent,agent2,agent,RED,1.4209,,51,49
agent2,agent,agent,BLUE,,1.6833,54,50
