red,blue,winner,avg_move_time,game
agent,agent2,unknown,,1
agent2,agent,unknown,,2
agent,agent2,unknown,,3
agent2,agent,unknown,,4
agent,agent2,unknown,,5
agent2,agent,unknown,,6
agent,agent2,unknown,,7
agent2,agent,unknown,,8
agent,agent2,unknown,,9
agent2,agent,unknown,,10
agent,agent2,unknown,,11
agent2,agent,unknown,,12
agent,agent2,unknown,,13
agent2,agent,unknown,,14
agent,agent2,unknown,,15
agent2,agent,unknown,,16
agent,agent2,unknown,,17
agent2,agent,unknown,,18
agent,agent2,unknown,,19
agent2,agent,unknown,,20
agent,agent2,unknown,,21
agent2,agent,unknown,,22
agent,agent2,unknown,,23
agent2,agent,unknown,,24
agent,agent2,unknown,,25
agent2,agent,unknown,,26
agent,agent2,unknown,,27
agent2,agent,unknown,,28
agent,agent2,unknown,,29
agent2,agent,unknown,,30
agent,agent2,unknown,,31
agent2,agent,unknown,,32
agent,agent2,unknown,,33
agent2,agent,unknown,,34
agent,agent2,unknown,,35
agent2,agent,unknown,,36
agent,agent2,unknown,,37
agent2,agent,unknown,,38
agent,agent2,unknown,,39
agent2,agent,unknown,,40
agent,agent2,unknown,,41
agent2,agent,unknown,,42
agent,agent2,unknown,,43
agent2,agent,unknown,,44
agent,agent2,unknown,,45
agent2,agent,unknown,,46
agent,agent2,unknown,,47
agent2,agent,unknown,,48
agent,agent2,unknown,,49
agent2,agent,unknown,,50
